decile,total_actual,cumulative_actual,percent_customers,model,gain,lift
1,6249.01,6249.01,10,Elastic Net,0.1376632835052818,1.3766328350528183
2,5827.3,12076.310000000001,20,Elastic Net,0.2660364581313952,1.2837317462611337
3,5885.46,17961.77,30,Elastic Net,0.39569087515729146,1.2965441702589626
4,5408.27,23370.04,40,Elastic Net,0.5148329802720393,1.1914210511474788
5,4669.36,28039.4,50,Elastic Net,0.6176971826766158,1.0286420240457652
6,4394.31,32433.71,60,Elastic Net,0.7145021395161943,0.9680495683957859
7,4069.28,36502.99,70,Elastic Net,0.8041468106404801,0.896446711242858
8,3524.26,40027.25,80,Elastic Net,0.8817849010782174,0.7763809043773726
9,2993.57,43020.82,90,Elastic Net,0.9477320952102329,0.6594719413201555
10,2372.62,45393.44,100,Elastic Net,1,0.5226790478976697
1,6230.94,6230.94,10,XGBoost,0.1372652083649091,1.372652083649091
2,5868.51,12099.45,20,XGBoost,0.2665462234190667,1.292810150541576
3,5826.1,17925.55,30,XGBoost,0.39489296250735784,1.2834673908829117
4,5401.58,23327.13,40,XGBoost,0.513887689498747,1.1899472699138907
5,4754.15,28081.28,50,XGBoost,0.6186197829466107,1.0473209344786383
6,4478.38,32559.66,60,XGBoost,0.7172767695067833,0.9865698656017258
7,3791.81,36351.47,70,XGBoost,0.8008088833981297,0.8353211389134642
8,3589.07,39940.54,80,XGBoost,0.8798747131744146,0.7906582977628486
9,3139.43,43079.97,90,XGBoost,0.9490351469287192,0.6916043375430458
10,2313.47,45393.44,100,XGBoost,1,0.5096485307128078
1,6236.61,6236.61,10,Ensemble Stacked,0.13739011628111902,1.3739011628111903
2,5929.43,12166.04,20,Ensemble Stacked,0.2680131754720506,1.3062305919093156
3,5824.9,17990.94,30,Ensemble Stacked,0.39633347902251953,1.2832030355046895
4,5336.19,23327.129999999997,40,Ensemble Stacked,0.5138876894987469,1.1755421047622738
5,4774.26,28101.39,50,Ensemble Stacked,0.6190627985012812,1.0517510900253428
6,4423.24,32524.629999999997,60,Ensemble Stacked,0.7165050720985234,0.9744227359724223
7,3826.84,36351.47,70,Ensemble Stacked,0.8008088833981297,0.8430381129960629
8,3566.34,39917.81,80,Ensemble Stacked,0.8793739800288323,0.7856509663070259
9,3162.16,43079.97,90,Ensemble Stacked,0.9490351469287192,0.6966116689988685
10,2313.47,45393.44,100,Ensemble Stacked,1,0.5096485307128078
1,6360.82,6360.82,10,Ensemble Average,0.14012641474186577,1.4012641474186578
2,5875.31,12236.130000000001,20,Ensemble Average,0.2695572311770159,1.294308164351501
3,5667.3,17903.43,30,Ensemble Average,0.39440566742683525,1.2484843624981936
4,5461.09,23364.52,40,Ensemble Average,0.5147113767980571,1.2030570937122191
5,4620.49,27985.010000000002,50,Ensemble Average,0.6164989919248244,1.0178761512676722
6,4503.01,32488.02,60,Ensemble Average,0.7156985678987977,0.9919957597397333
7,3968.22,36456.24,70,Ensemble Average,0.8031169261461567,0.8741835824735908
8,3456.29,39912.53,80,Ensemble Average,0.8792576636624145,0.7614073751625785
9,3215.76,43128.29,90,Ensemble Average,0.95009961791836,0.7084195425594536
10,2265.15,45393.44,100,Ensemble Average,1,0.49900382081639993
1,6360.29,6360.29,10,Ensemble Weighted,0.1401147390459943,1.4011473904599432
2,5875.84,12236.130000000001,20,Ensemble Weighted,0.2695572311770159,1.2944249213102157
3,5667.3,17903.43,30,Ensemble Weighted,0.39440566742683525,1.2484843624981936
4,5490.31,23393.74,40,Ensemble Weighted,0.5153550821440279,1.2094941471719263
5,4591.27,27985.010000000002,50,Ensemble Weighted,0.6164989919248244,1.0114390978079653
6,4569.01,32554.02,60,Ensemble Weighted,0.717152522479019,1.0065353055419461
7,3802.63,36356.65,70,Ensemble Weighted,0.8009229968030623,0.837704743240433
8,3555.88,39912.53,80,Ensemble Weighted,0.8792576636624145,0.7833466685935236
9,3215.76,43128.29,90,Ensemble Weighted,0.95009961791836,0.7084195425594536
10,2265.15,45393.44,100,Ensemble Weighted,1,0.49900382081639993
1,6515.21,6515.21,10,Stratified XGBoost,0.14352756697884098,1.43527566978841
2,6173.7300000000005,12688.94,20,Stratified XGBoost,0.2795324610780765,1.3600489409923548
3,5625.91,18314.85,30,Stratified XGBoost,0.4034690915691782,1.239366304911018
4,5285.65,23600.5,40,Stratified XGBoost,0.5199099253107938,1.1644083374161551
5,4989.11,28589.61,50,Stratified XGBoost,0.6298180970642454,1.099081717534516
6,4247.87,32837.479999999996,60,Stratified XGBoost,0.7233970371049208,0.9357894004067547
7,3873.42,36710.9,70,Stratified XGBoost,0.8087269878643257,0.8532995075940488
8,3528.45,40239.35,80,Stratified XGBoost,0.8864573823882922,0.7773039452396645
9,2894.93,43134.28,90,Stratified XGBoost,0.9502315753113224,0.6377419292303028
10,2259.16,45393.44,100,Stratified XGBoost,1,0.4976842468867748
